     Time,area,NGp,Tro,Ion,  delay,Tgp,    T00,    T01,    T10 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.120, -0.464,  0.208 
                               G05,  1,  5.680, -0.336,  0.104 
                               G12,  1, 10.680,  0.152,  0.040 
                               G21,  1,  7.200, -0.080,  0.040 
                               G23,  1, -1.000,  0.104,  0.088 
                               G25,  1,  5.520, -0.248,  0.120 
                               G26,  1,  6.280, -0.384,  0.192 
                               G29,  1,  2.080, -0.312,  0.176 
                               G31,  1,  4.400, -0.312,  0.176 
     5850,  28, 48,  1,  1,  0.004,  1, -0.104,  0.000, -0.002 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  2.080, -0.384,  0.016 
                               G05,  1,  6.080, -0.048, -0.072 
                               G12,  1, 10.600,  0.112, -0.048 
                               G21,  1,  7.520,  0.128, -0.008 
                               G23,  1,  0.280,  0.048,  0.064 
                               G25,  1,  6.280,  0.032,  0.000 
                               G26,  1,  7.160, -0.288, -0.008 
                               G29,  1,  3.000, -0.096,  0.000 
                               G31,  1,  5.520, -0.024,  0.040 
     5850,  30, 30,  1,  1,  0.004,  1, -0.092, -0.008, -0.004 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  0.360, -0.360,  0.144 
                               G05,  1,  4.800, -0.480,  0.120 
                               G12,  1, 11.000,  0.072,  0.024 
                               G21,  1,  7.120, -0.128,  0.064 
                               G23,  1, -0.520, -0.008,  0.120 
                               G25,  1,  5.040, -0.320,  0.152 
                               G26,  1,  5.520, -0.408,  0.144 
                               G29,  1,  1.520, -0.360,  0.160 
                               G31,  1,  3.800, -0.424,  0.200 
     5850,  31, 16,  1,  1,  0.004,  1, -0.136, -0.013, -0.006 
                               sat,Igp,    C00,    C01,    C10 
                               G02,  1,  1.080, -0.296,  0.032 
                               G05,  1,  5.320, -0.304, -0.064 
                               G12,  1, 10.400, -0.088, -0.152 
                               G21,  1,  7.960,  0.136,  0.024 
                               G23,  1,  0.640,  0.088,  0.032 
                               G25,  1,  5.960, -0.184, -0.040 
                               G26,  1,  6.120, -0.352,  0.024 
                               G29,  1,  2.320, -0.304,  0.000 
                               G31,  1,  4.800, -0.392, -0.032 
     5850,  32, 21,  1,  1,  0.000,  1, -0.172, -0.028,  0.003 
                               sat,Igp,    C00,    C01,    C10 
